Date,BAC,National,Diamond,GPP_prediction
9/16/2018,1.018087775,0.770033771,0.587319323,0
9/17/2018,0.508326942,1.28013931,0.72521629,0
9/18/2018,10.13084482,0.32941699,0.194508575,1.503892773
9/19/2018,1.599217837,NA,0.48794419,0
9/20/2018,1.225307566,NA,0.726067654,0
9/21/2018,1.583838191,1.932442686,10.17052318,2.514570663
9/22/2018,1.817476081,0.916253244,1.610461548,0
9/23/2018,1.92717405,0.873814753,10.15486996,2.270922232
9/24/2018,1.730834088,1.245624706,0.907977787,0
9/25/2018,1.245310668,1.002022143,0.694570248,0
9/26/2018,0.945068112,0.742885469,1.021266831,0
9/27/2018,1.434427465,0.905675805,0.938068603,0
9/28/2018,0.634095484,NA,1.374523471,0
9/29/2018,0.810779267,0.361614138,0.937431505,0
9/30/2018,1.727904862,0.529258396,0.476137433,0
10/1/2018,5.944822676,1.424970728,0.334225177,0.520308838
10/2/2018,10.16174049,0.953516068,0.192312921,1.721492471
10/3/2018,0.593161793,1.328588724,10.1662781,1.981645517
10/4/2018,6.589522553,NA,5.221564925,3.800869981
10/5/2018,0.867536064,NA,0.27685175,0
10/6/2018,0.419929251,NA,0.432771091,0
10/7/2018,1.607512225,NA,0.588690433,0
10/8/2018,1.635190166,0.878190739,0.744609774,0
10/9/2018,1.662868107,NA,0.900529115,0
10/10/2018,0.51740018,NA,1.263249064,0
10/11/2018,0.897866795,NA,0.19099589,0
10/12/2018,1.278333409,NA,0.907022396,0
10/13/2018,0.528726388,0.368101357,0.6342077,0
10/14/2018,0.439681273,NA,0.361393004,0
10/15/2018,1.959706976,0.740895028,0.577179825,0
10/16/2018,0.713443366,NA,0.394896292,0
10/17/2018,10.12435783,NA,0.212612758,3.063811536
10/18/2018,5.930078946,0.572809968,0.612498575,0.324098474
10/19/2018,1.735800061,0.765761182,0.316422932,0
10/20/2018,1.284587775,NA,0.29863295,0
10/21/2018,0.676371706,NA,0.280842968,0
10/22/2018,0.834589753,NA,0.263052986,0
10/23/2018,0.992807799,NA,0.245263004,0
10/24/2018,0.7051871,NA,0.227473021,0
10/25/2018,1.023356708,NA,0.209683039,0
10/26/2018,1.341526316,NA,0.191893057,0
10/27/2018,0.91411776,NA,0.174103075,0
10/28/2018,0.787287995,NA,0.229668573,0
10/29/2018,0.664198953,NA,0.285234071,0
10/30/2018,1.121319422,NA,0.340799568,0
10/31/2018,1.57843989,NA,0.396365066,0
11/1/2018,0.923791967,NA,0.233937198,0
11/2/2018,2.297049011,0.340786471,0.360344854,0
11/3/2018,1.88993291,NA,0.48675251,0
11/4/2018,1.482816809,1.408523684,0.691267839,0
11/5/2018,0.640869376,NA,0.343151059,0
11/6/2018,0.690161805,NA,2.541863231,0
11/7/2018,0.739454233,4.477267531,1.747079615,0.273569771
11/8/2018,0.788746662,NA,0.952295999,0
11/9/2018,2.276967423,2.918847051,1.829632773,0.294118393
11/10/2018,1.331383011,0.772111796,1.316215986,0
11/11/2018,0.424519738,NA,0.8027992,0
11/12/2018,1.217877102,1.443855384,0.289382413,0
11/13/2018,1.607625603,1.399491376,0.221537136,0
11/14/2018,1.85189599,1.273512852,0.351200873,0
11/15/2018,1.042113425,10.17460793,0.480864609,1.851497966
11/16/2018,1.09371519,1.666779206,0.500486482,0
11/17/2018,0.847575478,10.17603618,0.520108354,1.800209315
11/18/2018,1.073597022,1.329279973,0.539730227,0
11/19/2018,1.249534894,1.229483223,0.456625125,0
11/20/2018,1.299044841,1.329447036,0.387761036,0
11/21/2018,10.19543499,1.319490301,0.546904279,1.972912501
11/22/2018,5.516364724,0.691196933,0.461610874,0.175360155
11/23/2018,0.837294457,1.23763355,0.376317469,0
11/24/2018,0.381071267,0.561008896,0.700221521,0
11/25/2018,1.212526227,0.936326608,0.590891706,0
11/26/2018,0.971987905,1.098189937,0.674866144,0
11/27/2018,1.762775622,1.384744972,0.815934062,0
11/28/2018,1.283207691,0.741020769,0.663229203,0
11/29/2018,0.803639759,1.355946483,0.465881671,0
11/30/2018,0.630050228,NA,0.539429932,0
12/1/2018,1.364159612,1.248654088,1.398127984,0
12/2/2018,1.289941249,NA,0.939945007,0
12/3/2018,1.215722885,NA,0.880629905,0
12/4/2018,0.907608363,NA,0.560600756,0
12/5/2018,0.599493841,NA,0.464088063,0
12/6/2018,0.610239763,NA,0.36757537,0
12/7/2018,0.620985686,0.681881123,0.271062677,0
12/8/2018,0.631731608,0.216072323,0.344178627,0
12/9/2018,0.642477531,0.788860669,0.416778465,0
12/10/2018,0.653223453,0.761657767,0.356803251,0
12/11/2018,0.303120904,NA,0.322212611,0
12/12/2018,0.689152104,NA,0.287621972,0
12/13/2018,1.075183304,0.444538751,0.253031332,0
12/14/2018,10.16575706,0.479747543,0.218440692,1.573617743
12/15/2018,5.372208039,NA,0.316279524,0.739570024
12/16/2018,0.578659017,0.62044861,0.414118356,0
12/17/2018,0.868318245,0.592339453,0.241969274,0
12/18/2018,0.799061996,NA,0.823333194,0
12/19/2018,0.729805746,0.703960857,0.142368349,0
12/20/2018,0.660549497,0.734836152,0.694485173,0
12/21/2018,0.623804106,NA,0.692639909,0
12/22/2018,0.715784654,NA,0.690794645,0
12/23/2018,0.807765201,0.425864117,0.66576407,0
12/24/2018,10.116496,0.744706927,0.793738363,1.837283074
12/25/2018,6.883299494,NA,0.814848809,1.744400394
12/26/2018,3.650102989,0.691356757,0.835959255,0
12/27/2018,0.416906483,0.524465623,0.857069701,0
